45503790	homeorganization	unclear	28600000	12	3200000	6059	5300000	217800	https://www.tiktok.com/@keyyv7/video/7637235374703512850	#paratiiiiiiiiiiiiiiiiiiiiiiii #fyp #sigueme #videoviral
30424400	homeorganization	unclear	53900000	25	9700000	42000	2700000	619100	https://www.tiktok.com/@tierneygoodnight/video/7628108599549496589	I wasn’t sure if this would work on her…the best part was her brother at the end . . https://www.facebook.com/share/r/15mqZzQXm3j/?mibextid=wwXIfr . . https://www.instagram.com/reel/DXFnowdiZvF/?igsh=MTQ1dXQwcm9rZnVq . . https://youtube.com/shorts/QvsRn9ocBMk?
6282000	homegadgets	unclear	36200000	8	6700000	21200	107600	283800	https://www.tiktok.com/@toreesecret/video/7627326443021700382	ik there’s others out there like me
3706810	homehacks	cute	11000000	14	2100000	2241	248100	107400	https://www.tiktok.com/@goose_goldenboy/video/7637292701276294420	his first bark 🥹📣🗣️ #goldenretrieversoftiktok #goldenretriever #puppylove #puppy #bark
1631400	homegadgets	food_or_eating	5000000	17	892000	2220	68800	128200	https://www.tiktok.com/@twotimevae/video/7624687529962327326	I TRIED TO LET YOU SLIDE TWIN #bsf #summrs #yeattok #band4band #niketech
1421950	amazonhomefinds	unclear	8000000	31	1100000	3515	57700	53800	https://www.tiktok.com/@lightskinbbgt/video/7630553659721452813	Us reuniting after he was out of the room for 10mins😭💗
1042270	kitchenhacks	food_or_eating	4900000	39	531200	907	46500	74400	https://www.tiktok.com/@iankyo/video/7638347352486464782	This is what to do with your used frying oil #kitchentips #kitchenhacks #cookingtips #cookinghacks #foodpreptiktokcontest
956320	cleaningtiktok	unclear	6000000	8	730700	977	47300	20700	https://www.tiktok.com/@brin.0/video/7631326114106985741	He’s here this time! #foryou #pregnant #teenmom #18 #relatable
671810	amazonhomefinds	unclear	2500000	8	402400	2261	31800	35900	https://www.tiktok.com/@tattedupfacedre/video/7624403829584383263	#fyp #xyzbca
547454	homehacks	unclear	6700000	12	568400	347	4273	22900	https://www.tiktok.com/@xxghostfacex_x/video/7631670618848546061	atleast shes thinking abt manon #katseye_yoonchae #katseyemanon #fyp #katseye_gnarly #eyekons
439100	kitchenhacks	unclear	1500000	65	185400	1560	27000	21200	https://www.tiktok.com/@kogiversity/video/7627227264454905101	Wearing hoodies gives you straight As I guess ???? #collegeadvice #fypシ #college #collegelife
355748	kitchenhacks	unclear	2200000	21	386700	1087	6691	13500	https://www.tiktok.com/@danch.merk/video/7637584095454760213	Pinky up 🕺 #fyp #dance #viral #trending
300786	kitchenhacks	food_or_eating	2000000	61	190200	755	5417	28700	https://www.tiktok.com/@jose.elcook/video/7630899745979911455	New* way to eat tomatoes! My life will never be the same anymore!! #tomato #kitchenhack #cookinghacks
254384	homehacks	cute	3200000	60	89100	453	4413	26500	https://www.tiktok.com/@juju.cares/video/7636455925976419615	A Dollar Tree diy idea that is so cute for any home decoration 😍 #diy #dollartreehacks #dollartreediy #dollartreefinds #dollartree
236034	homehacks	unclear	9100000	8	29200	443	2707	3337	https://www.tiktok.com/@khuvuontuoimoi/video/7635991342098844949
228968	cleaningtiktok	care_or_cleaning	1000000	176	199000	3200	5835	7697	https://www.tiktok.com/@mads4urfav/video/7639246445484313869	clean with me :) sorry for not posting much, i’ve been so tired and so stressed, please no judgement #fyp #viral #cleaning #relatable #cleaningtiktok
207334	kitchenhacks	unclear	2200000	65	218200	417	2390	7736	https://www.tiktok.com/@shef_phoenix/video/7632003926576958742	The peanut butter experiment
